"ORIGINAL";"ADDR_POSTCODE";"ADDR_CITY";"ADDR_STREET";"ADDR_HOUSENUMBER";"ADDR_CONSCRIPTIONNUMBER";"CHECK_STREET"
"9512 Ostffyasszonyfa, Bajcsy Zs. u. 24.";"9512";"Ostffyasszonyfa";"Bajcsy-Zsilinszky Endre utca";"24";"";"OK"
"9730 Kőszeg, Alsó krt. 42.";"9730";"Kőszeg";"Alsó körút";"42";"";"OK"
"9800 Vasvár, Győrvári út 113.";"9800";"Vasvár";"Győrvári utca";"113";"";"OK"
"1106 Budapest, Keresztúri u.108/A.";"1106";"Budapest";"Keresztúri út";"108/A";"";"OK"
"2030 Érd, Szent László tér 1.";"2030";"Érd";"Szent László tér";"1";"";"OK"
"2162 Őrbottyán, Fő út 9733/2 hrsz.";"2162";"Őrbottyán";"Fő út";"";"9733/2";"OK"
"2220 Vecsés, Üllői út 812.";"2220";"Vecsés";"Üllői út";"812";"";"OK"
"8151 Szabadbattyán, HRSZ 09/5";"8151";"Szabadbattyán";"";"";"09/5";"KT"
"9221 Levél, Szerviz u. 8.";"9221";"Levél";"Szerviz utca";"8";"";"OK"
"2170 Aszód, Falujárók útja 44.";"2170";"Aszód";"Falujárók útja";"44";"";"OK"
"2698 Mohora, Rákóczi út 47/C";"2698";"Mohora";"Rákóczi utca";"47/C";"";"OK"
"4254 Nyíradony Debreceni u.100.";"4254";"Nyíradony";"Debreceni utca";"100";"";"OK"
"5054 Jászalsószentgyörgy, Béke út 1/C.";"5054";"Jászalsószentgyörgy";"Béke út";"1/C";"";"OK"
"6100 Kiskunfélegyháza, Szegedi út 89.";"6100";"Kiskunfélegyháza";"Szegedi út";"89";"";"OK"
"7130 Tolna, HRSZ.: 077/4.";"7130";"Tolna";"";"";"077/4";"KT"
"7516 Berzence, Árpád tér 1.";"7516";"Berzence";"Árpád tér";"1";"";"OK"
"7800 Siklós, Harkányi u.55.";"7800";"Siklós";"Harkányi út";"55";"";"OK"
"8600 Siófok, Vak Bottyán u. 45.";"8600";"Siófok";"Vak Bottyán utca";"45";"";"OK"
"8675 Andocs, Ady Endre u. 206/5 hrsz";"8675";"Andocs";"Ady Endre utca";"";"206/5";"OK"
"9028 Győr, Fehérvári út 75.";"9028";"Győr";"Fehérvári út";"75";"";"OK"
"9737 Bük, 0131/3 hrsz.";"9737";"Bük";"";"";"0131/3";"KT"
"1144 Budapest, Gvadányi út 67.";"1144";"Budapest";"Gvadányi utca";"67";"";"OK"
"2000 Szentendre Vasvári Pál u. 2794/16 hrsz.";"2000";"Szentendre";"Vasvári Pál utca";"";"2794/16";"OK"
"2230 Gyömrő, Kóczán út 5823 hrsz.";"2230";"Gyömrő";"Kóczán út";"";"5823";"OK"
"2760 Nagykáta, Jászberényi út 61/A";"2760";"Nagykáta";"Jászberényi út";"61/A";"";"OK"
"2851 Környe Somlói utca 1, HRSZ 0633/21";"2851";"Környe";"Somlói út";"1";"0633/21";"OK"
"3563 Hernádkak, Széchenyi u. 1/a.";"3563";"Hernádkak";"Széchenyi István utca";"1/A";"";"OK"
"3922 Taktaharkány, Vörösmarty u.10.";"3922";"Taktaharkány";"Vörösmarty utca";"10";"";"OK"
"3973 Cigánd, Vasút út 52/a.";"3973";"Cigánd";"Vasút utca";"52/A";"";"OK"
"4090 Polgár, Tiszaiúti tanya 7/A.";"4090";"Polgár";"Tiszaúti tanya";"7/A";"";"OK"
"4352 Mérk, Béke út 557/3.";"4352";"Mérk";"Béke utca";"557/3";"";"OK"
"5662 Csanádapáca";"5662";"Csanádapáca";"";"";"";"KT"
"8798 Zalabér, 03155/2 hrsz.";"8798";"Zalabér";"";"";"03155/2";"KT"
"9600 Sárvár, Ikervári út 18.";"9600";"Sárvár";"Ikervári utca";"18";"";"OK"
"9700 Szombathely, Körmendi út 92.";"9700";"Szombathely";"Körmendi út";"92";"";"OK"
"1106 Budapest, Kerepesi út 89.";"1106";"Budapest";"Kerepesi út";"89";"";"OK"
"2235 Mende, Ország út 24.";"2235";"Mende";"Ország út";"24";"";"OK"
"2340 Kiskunlacháza, Ráckevei út 090/1 hrsz.";"2340";"Kiskunlacháza";"Ráckevei út";"";"090/1";"OK"
"2462 Martonvásár, Bajcsy-Zs.E.u.31.";"2462";"Martonvásár";"Bajcsy-Zsilinszky Endre utca";"31";"";"OK"
"3528 Miskolc, II. ker. 0235/72 hrsz.";"3528";"Miskolc";"";"";"0235/72";"KT"
"5451 Öcsöd, Bem út 1.";"5451";"Öcsöd";"Bem József út";"1";"";"OK"
"6347 Érsekcsanád, KT 09/34 Hrsz.";"6347";"Érsekcsanád";"";"";"09/34";"KT"
"7142 Pörböly, Vadász u. 1.";"7142";"Pörböly";"Vadász utca";"1";"";"OK"
"7200 Dombóvár, Kórház u. 1.";"7200";"Dombóvár";"Kórház utca";"1";"";"OK"
"7349 Szászvár, Vásártér u. 1171/2 hrsz.";"7349";"Szászvár";"Vásártér utca";"";"1171/2";"NINCS"
"8992 Bagod, Kossuth u. 21-23.";"8992";"Bagod";"Kossuth Lajos utca";"21-23";"";"OK"
"9653 Répcelak, 076/15. hrsz 86. számú főút mellett";"9653";"Répcelak";"86-os főút";"";"076/15";"FOUT"
"9912 Molnaszecsőd, Petőfi S. u. 96.";"9912";"Molnaszecsőd";"Petőfi út";"96";"";"OK"
"2142 Nagytarcsa 0135/50 hrsz.";"2142";"Nagytarcsa";"";"";"0135/50";"KT"
"2181 Iklad Alsómajor 057/59 Hrsz.";"2181";"Iklad";"Alsómajor";"";"057/59";"NINCS"
"2463 Tordas Köztársaság u.8/a.";"2463";"Tordas";"Köztársaság út";"8/A";"";"OK"
"2941 Ács, Fő u. 2.";"2941";"Ács";"Fő utca";"2";"";"OK"
"3246 Mátraderecske, Kossuth út Hrsz.0183/3.";"3246";"Mátraderecske";"Kossuth Lajos út";"";"0183/3";"OK"
"4235 Biri, Fő u. 32.";"4235";"Biri";"Fő utca";"32";"";"OK"
"6525 Hercegszántó, 1216/2 hrsz.";"6525";"Hercegszántó";"";"";"1216/2";"KT"
"7523 Kaposfő, 643/5 hrsz.";"7523";"Kaposfő";"";"";"643/5";"KT"
"8500 Pápa, Hódoska major 661 hrsz.";"8500";"Pápa";"Hódoska major";"";"661";"NINCS"
